UniqueID,Building Name,Status,Include_Flow_Chart,School Level,Capacity,EducationalCapacity,PKEnrollment,Enrollment,2030_PK,2030_Total,EducationalAdequacy,Below50PCTL_EA_Cat,SiteCapacity, SquareFt ,BuildingScore,RecentInvestments,AttendanceAreaEnrollment,NonPKAttendanceAreaEnrollment,HighNeedStudents,ROFTSStudentsREceived
CO-1420-5623,Long View High School,Active,Yes,Alternative,167,95.2,,17,,24,,Yes,No,"6,808",0.271270176,No,0,0,0.183333333,0
CO-1420-5972,Molholm Elementary,Closed,No,Elementary,454,Not Found,0,0,,,0.411922906,Yes,No,"46,524",0,No,0,0,,0
CO-1420-1730,Jefferson Academy at Coal Creek Canyon,Active,No,Charter,0,Not Assessed,12,99,12,97,,,No,"25,361",0.136363636,No,0,0,0.029333333,37
CO-1420-9154,New Classical Academy at Vivian,Closed,No,Elementary,302,Not Assessed,0,0,,0,,,No,"33,138",0,No,0,0,,0
CO-1420-8276,Stober Elementary,Active,Yes,Elementary,454,444,,359,,386,0.700500284,Yes,No,"32,633",0.513114397,Yes,46.6,50.11,0.158,54
CO-1420-7282,Red Rocks Elementary,Active,Yes,Elementary,324,276,,288,,293,0.63038586,Yes,No,"29,176",0.375984487,No,76.13,79.73,0.037666667,1
CO-1420-1244,Campbell Early Learning Center,Active,No,Option,312,176,217,217,,,0.60932988,Yes,No,"43,487",0.60414133,Yes,0,0,0.134666667,11
CO-1420-3088,Foster Dual Language PK-8,Active,Yes,Option,454,296,36,486,33,569,0.719928025,Yes,No,"42,486",0.450032551,Yes,0,0,0.377333333,13
CO-1420-7962,Slater Elementary,Active,Yes,Elementary,310,348,35,240,31,223,0.58944212,Yes,No,"46,085",0.439807354,Yes,38.87,37.55,0.394,12
CO-1420-4802,Kullerstrand Elementary,Closed,No,Elementary,302,Not Found,0,0,,,0.587465359,Yes,No,"35,533",0,No,0,0,,0
CO-1420-6806,Parr Elementary,Closed,No,Elementary,302,Not Found,0,0,,,0.495508931,Yes,No,"33,602",0,No,0,0,,0
CO-1420-9052,Van Arsdale Elementary,Active,Yes,Elementary,583,616,59,470,59,404,0.595640046,Yes,No,"50,511",0.611636855,No,69.13,68.3,0.104333333,4
CO-1420-1790,Colorow Elementary,Closed,No,Elementary,475,Not Found,0,0,,0,0.51803196,Yes,No,"44,227",0,Yes,0,0,,0
CO-1420-7190,Prospect Valley Elementary,Active,Yes,Elementary,562,580,,587,,569,0.82813198,No,Yes,"46,229",0.6941,Yes,54.44,59.75,0.160666667,139
CO-1420-3622,Green Gables Elementary,Active,Yes,Elementary,346,304,20,300,21,313,0.520478478,Yes,No,"36,920",0.590603002,No,43.86,44.92,0.182,5
CO-1420-5580,Marshdale Elementary,Active,Yes,Elementary,396,388,19,376,17,355,0.873463059,No,Yes,"44,120",0.6867,Yes,69.29,72.43,0.041,0
CO-1420-7468,Rose Stein International Elementary,Active,Yes,Elementary,468,496,52,313,55,285,0.615164226,Yes,Yes,"47,094",0.645783571,No,45,42.99,0.426666667,27
CO-1420-6848,Peak Expeditionary at Pennington,Active,Yes,Elementary,331,304,20,333,19,338,0.629762251,Yes,Yes,"36,877",0.51155831,Yes,58.33,58.18,0.200333333,12
CO-1420-0499,Jeffco Transition Services,Active,Yes,Alternative,95,Not Assessed,,144,,148,,,No, -   ,0,Yes,0,0,0.52,0
CO-1420-5222,Little Elementary,Active,Yes,Elementary,410,400,,251,,195,0.554105843,Yes,No,"40,712",0.486792198,No,41.46,44.25,0.31,95
CO-1420-6828,Peck Elementary,Closed,No,Elementary,432,Not Found,0,0,,0,0.559392621,Yes,No,"42,834",0,No,0,0,,0
CO-1420-9058,Vanderhoof Elementary,Active,Yes,Elementary,490,492,,346,,392,0.681449355,Yes,Yes,"44,082",0.440531867,No,40.3,44.79,0.214,65
CO-1420-2866,Fairmount Elementary,Active,Yes,Elementary,605,616,,574,,582,0.59155451,Yes,Yes,"65,146",0.549751928,Yes,75.19,78.39,0.059333333,5
CO-1420-4478,Sheridan Green Elementary,Closed,No,Elementary,0,Not Assessed,0,0,,,,,No,"46,466",0,Yes,0,0,,0
CO-1420-9342,Welchester Elementary,Active,Yes,Elementary,410,380,28,282,29,286,0.725733051,Yes,Yes,"42,093",0.443461832,Yes,44.88,45.4,0.348333333,4
